,text,intent
0,I'd love to hear this read out loud,convert_to_audio
1,Could you turn this script into an audio file?,convert_to_audio
2,Please make this sentence audible,convert_to_audio
3,Transform these lines into voice format,convert_to_audio
4,Produce an MP3 from this message,convert_to_audio
5,Is it possible to vocalize this content?,convert_to_audio
6,Say these words out loud,convert_to_audio
7,Turn the following into an audio clip,convert_to_audio
8,I’d appreciate a voice version of this,convert_to_audio
9,Generate a sound file of this,convert_to_audio
10,Convert the note below into speech,convert_to_audio
11,"Speak this for me, please",convert_to_audio
12,Give me a narrated version of this content,convert_to_audio
13,Please render this paragraph into voice,convert_to_audio
14,Make a recording of this content,convert_to_audio
15,How does this sound when spoken?,convert_to_audio
16,Can you output this as an MP3?,convert_to_audio
17,Speak this document out loud,convert_to_audio
18,Create a podcast version of this text,convert_to_audio
19,I'd like to listen to this in spoken form,convert_to_audio
20,Convert my notes into a voice memo,convert_to_audio
21,Can this text be transformed into audio?,convert_to_audio
22,Give me a voice-over version of this note,convert_to_audio
23,I need to hear this out loud,convert_to_audio
24,Audioify this content,convert_to_audio
25,Please give me a voice representation of this,convert_to_audio
26,Create a verbal output for this,convert_to_audio
27,Play the spoken version of these lines,convert_to_audio
28,I'd like a read-aloud of this,convert_to_audio
29,Vocalize these sentences for me,convert_to_audio
30,Turn this paragraph into speech format,convert_to_audio
31,Make a podcast reading of this note,convert_to_audio
32,Give this note a voice,convert_to_audio
33,Turn the content into an audible clip,convert_to_audio
34,Read this script in a podcast style,convert_to_audio
35,I'd like an audio narration of this paragraph,convert_to_audio
36,Please convert this article to sound,convert_to_audio
37,Convert the following sentence into audio output,convert_to_audio
38,Let me hear what this text sounds like,convert_to_audio
39,Read this in your voice,convert_to_audio
40,Speak out the paragraph below,convert_to_audio
41,Please convert my document into a voice file,convert_to_audio
42,I want to listen to these sentences,convert_to_audio
43,Please provide an audio narration,convert_to_audio
44,Turn this into speech audio format,convert_to_audio
45,Read out my writing in voice,convert_to_audio
46,Audio playback required for this content,convert_to_audio
47,Give an oral version of this file,convert_to_audio
48,Speak this section like a narrator would,convert_to_audio
49,Let me hear how this reads,convert_to_audio
50,I want an audible playback of these notes,convert_to_audio
51,Can you sound this paragraph?,convert_to_audio
52,Convert and vocalize this script,convert_to_audio
53,Voice message required for the following,convert_to_audio
54,Turn these lines into a speech clip,convert_to_audio
55,Could you say these notes aloud?,convert_to_audio
56,I'd like to get an audio transformation of this,convert_to_audio
57,Play this paragraph using voice,convert_to_audio
58,Can you return this note as audio?,convert_to_audio
59,Voice representation needed for this script,convert_to_audio
60,Generate an audio file from these points,convert_to_audio
61,I’d like this content spoken,convert_to_audio
62,Produce a sound version of this paragraph,convert_to_audio
63,Let me hear this content in MP3 form,convert_to_audio
64,Turn this sentence into voice-based output,convert_to_audio
65,Can you read these lines for me?,convert_to_audio
66,Please voice out the following message,convert_to_audio
67,Speak this out as if it's a podcast,convert_to_audio
68,"Narrate this paragraph, please",convert_to_audio
69,Generate a voice-over for this note,convert_to_audio
70,Make an audio track from this sentence,convert_to_audio
71,I'd love to hear this read in English,convert_to_audio
72,Please say these lines using audio,convert_to_audio
73,Provide an auditory version of this,convert_to_audio
74,Can you return an MP3 of this note?,convert_to_audio
75,Voice this script out loud,convert_to_audio
76,Let me listen to these notes,convert_to_audio
77,Say this section in your voice,convert_to_audio
78,I need this transformed into voice,convert_to_audio
79,Say this sentence with voice,convert_to_audio
80,Create a speech version of these points,convert_to_audio
81,Speak the following out like an audiobook,convert_to_audio
82,Give me an audible file of this message,convert_to_audio
83,Produce speech for the content below,convert_to_audio
84,Please let me hear this script,convert_to_audio
85,Say this back to me in audio,convert_to_audio
86,I’d like an MP3 version of this writing,convert_to_audio
87,Speak the paragraph in clear audio,convert_to_audio
88,Can you return a vocal version of this file?,convert_to_audio
89,Say the following in spoken English,convert_to_audio
90,Play this in audio speech format,convert_to_audio
91,Produce a sound clip from this paragraph,convert_to_audio
92,Please create a spoken version,convert_to_audio
93,Make the following paragraph verbal,convert_to_audio
94,Can you give me an MP3 reading of this?,convert_to_audio
95,Say these contents out loud like a narrator,convert_to_audio
96,Speak this message into an audio file,convert_to_audio
97,Make this segment listenable,convert_to_audio
98,Play this note as a voice output,convert_to_audio
99,Say my paragraph as sound,convert_to_audio
100,Turn this piece into vocal form,convert_to_audio
101,Please pronounce this note aloud,convert_to_audio
102,Produce audio using the following words,convert_to_audio
103,Turn this into spoken narration,convert_to_audio
104,I'd like this text to be read out loud,convert_to_audio
105,Convert this sentence into an audio message,convert_to_audio
106,Can you play back this text as speech?,convert_to_audio
107,I want this written content in audio format,convert_to_audio
108,Please turn this message into spoken audio,convert_to_audio
109,I need this content vocalized,convert_to_audio
110,Say this sentence in a natural voice,convert_to_audio
111,Turn this content into something I can listen to,convert_to_audio
112,Could you generate a voiceover of this message?,convert_to_audio
113,I’d like to listen to this instead of reading,convert_to_audio
114,Please speak the following aloud,convert_to_audio
115,Turn these points into a speech file,convert_to_audio
116,Give me an audible form of this input,convert_to_audio
117,Play this content back as audio,convert_to_audio
118,I want this information as an MP3,convert_to_audio
119,Can you convert these lines into sound?,convert_to_audio
120,Make this sentence speakable,convert_to_audio
121,Transform my paragraph into an audible recording,convert_to_audio
122,I prefer hearing this — generate voice,convert_to_audio
123,Please produce a speech output of this note,convert_to_audio
124,Let me hear this message in audio form,convert_to_audio
125,Convert the following into voice-based audio,convert_to_audio
126,I'd like this typed content spoken back to me,convert_to_audio
127,Speak this text for audio playback,convert_to_audio
128,I want a narrator-style version of this content,convert_to_audio
129,Please output this as a speech stream,convert_to_audio
130,Say these words in human-like voice,convert_to_audio
131,I'd appreciate this as spoken language,convert_to_audio
132,Say this input in voice form,convert_to_audio
133,Voice this paragraph and send it as audio,convert_to_audio
134,Turn this message into a voice format,convert_to_audio
135,Produce speech from this input,convert_to_audio
136,Can you narrate this line?,convert_to_audio
137,Please play this out loud using AI voice,convert_to_audio
138,Say the next message as an audio clip,convert_to_audio
139,Speak this using natural-sounding speech,convert_to_audio
140,Play audio of these statements,convert_to_audio
141,Create a vocal file of this paragraph,convert_to_audio
142,Generate voice narration for this entry,convert_to_audio
143,Provide this content as a spoken file,convert_to_audio
144,Read this aloud like a narrator,convert_to_audio
145,I want to hear this paragraph,convert_to_audio
146,Give me a listenable version of the input,convert_to_audio
147,Play this content as a human voice,convert_to_audio
148,Make this paragraph sound like a podcast,convert_to_audio
149,Turn this sentence into something I can hear,convert_to_audio
150,Could you voice this out for me?,convert_to_audio
151,I'd like to hear this sentence played back,convert_to_audio
152,Transform this message into voice output,convert_to_audio
153,Please speak this out in English,convert_to_audio
154,Return an audio narration of this input,convert_to_audio
155,Please give a voice version of this input,convert_to_audio
156,Can this line be read out in voice?,convert_to_audio
157,Produce a sound output for this message,convert_to_audio
158,Change this text into a spoken phrase,convert_to_audio
159,Say this as though reading it to an audience,convert_to_audio
160,Turn this into a recording I can listen to,convert_to_audio
161,I want this narrated like a podcast,convert_to_audio
162,Speak these words like an audiobook,convert_to_audio
163,Play this content as voice narration,convert_to_audio
164,Please turn this block of text into sound,convert_to_audio
165,Use speech to say this,convert_to_audio
166,Let me hear this in an audio clip,convert_to_audio
167,Say this like a voice assistant,convert_to_audio
168,I want a speech version of this sentence,convert_to_audio
169,Please generate audio playback for this,convert_to_audio
170,Make this content vocal,convert_to_audio
171,Give a voice-based format of this note,convert_to_audio
172,Narrate this line using a voice engine,convert_to_audio
173,Turn the content into something audible,convert_to_audio
174,Can you turn these sentences into a spoken clip?,convert_to_audio
175,Convert to voice mode,convert_to_audio
176,Let me listen to the input,convert_to_audio
177,Create a sound version of this paragraph,convert_to_audio
178,Change this into vocal output,convert_to_audio
179,Speak this in plain English,convert_to_audio
180,Generate audible feedback for this text,convert_to_audio
181,Give this back as a voice file,convert_to_audio
182,Say this script aloud,convert_to_audio
183,Can you read these notes out loud?,convert_to_audio
184,Make this listenable content,convert_to_audio
185,I'd like an audio snippet of this,convert_to_audio
186,Please return this as a speech sample,convert_to_audio
187,Play this text like a voice note,convert_to_audio
188,Give me a sound file for this statement,convert_to_audio
189,"Verbal version of this, please",convert_to_audio
190,Convert this paragraph to a voice clip,convert_to_audio
191,Speak this so I can hear it,convert_to_audio
192,Make this paragraph talk,convert_to_audio
193,Produce audio for this written passage,convert_to_audio
194,Give this sentence back as an MP3,convert_to_audio
195,I want to hear these lines,convert_to_audio
196,Turn this phrase into audible speech,convert_to_audio
197,Read this message out using synthetic voice,convert_to_audio
198,Please generate a vocalized clip of this,convert_to_audio
199,Voice out this section of text,convert_to_audio
200,Render this message into audio,convert_to_audio
201,Provide a sound clip of this sentence,convert_to_audio
202,Say this as if reading to a friend,convert_to_audio
203,Play this aloud as a narration,convert_to_audio
204,Make an MP3 narration of this note,convert_to_audio
205,Convert this text to audio,convert_to_audio
206,Can you read this out loud?,convert_to_audio
207,Make an audio file from this,convert_to_audio
208,Speak this text,convert_to_audio
209,Turn these notes into an MP3,convert_to_audio
210,I want to hear this content,convert_to_audio
211,Play this as audio,convert_to_audio
212,Read this in audio format,convert_to_audio
213,Generate audio from this note,convert_to_audio
214,Can you say this out loud?,convert_to_audio
215,Turn this note into spoken words,convert_to_audio
216,Please give me an audio version of this,convert_to_audio
217,I want this in audio format,convert_to_audio
218,Speak these words,convert_to_audio
219,Can you speak this content?,convert_to_audio
220,Say this text,convert_to_audio
221,I want an audio clip of this,convert_to_audio
222,Make this listenable,convert_to_audio
223,Give me audio output for this,convert_to_audio
224,Voice this content,convert_to_audio
225,Can I hear this text?,convert_to_audio
226,Please play this note as audio,convert_to_audio
227,Turn this into a voice message,convert_to_audio
228,I’d like to hear this,convert_to_audio
229,Convert the following to voice,convert_to_audio
230,Give this back as sound,convert_to_audio
231,I want to listen to this,convert_to_audio
232,Can this be converted to speech?,convert_to_audio
233,Read this content using voice,convert_to_audio
234,Say it aloud,convert_to_audio
235,Please give audio for this,convert_to_audio
236,Make this audible,convert_to_audio
237,Can you give me a sound version of this?,convert_to_audio
238,Let me hear this document,convert_to_audio
239,Voice over this content,convert_to_audio
240,Generate speech from this,convert_to_audio
241,Can you vocalize this?,convert_to_audio
242,Play this paragraph as audio,convert_to_audio
243,Say this out,convert_to_audio
244,Audio version needed,convert_to_audio
245,Can you pronounce this content?,convert_to_audio
246,Make this text audible,convert_to_audio
247,Read this aloud like a podcast,convert_to_audio
248,Convert it into spoken audio,convert_to_audio
249,Give a voice recording of this,convert_to_audio
250,Provide an MP3 for this note,convert_to_audio
251,Transform this text into audio,convert_to_audio
252,Speak out the content,convert_to_audio
253,Please read my notes,convert_to_audio
254,Read it like an audiobook,convert_to_audio
255,Turn this into spoken English,convert_to_audio
256,Make a voice file from this,convert_to_audio
257,I need this in audio,convert_to_audio
258,Play these notes as sound,convert_to_audio
259,Read this paragraph aloud,convert_to_audio
260,Produce a voice message of this,convert_to_audio
261,I’d like an audio file for this,convert_to_audio
262,Can you narrate this?,convert_to_audio
263,Speak the following sentence,convert_to_audio
264,Say the content in this file,convert_to_audio
265,Please make this content audible,convert_to_audio
266,Render this into a voice,convert_to_audio
267,Voice over this file,convert_to_audio
268,Narrate these notes,convert_to_audio
269,Audio narration needed,convert_to_audio
270,Make this readable by voice,convert_to_audio
271,Create audio narration,convert_to_audio
272,I'd like a voice output,convert_to_audio
273,Please speak the following,convert_to_audio
274,I need an audible version of this,convert_to_audio
275,Voice convert this,convert_to_audio
276,Please generate audio,convert_to_audio
277,Play back the notes,convert_to_audio
278,Make a podcast-style clip,convert_to_audio
279,Turn my notes into speech,convert_to_audio
280,Can I get this as a spoken clip?,convert_to_audio
281,I want this in voice form,convert_to_audio
282,Convert it into verbal audio,convert_to_audio
283,Spoken form needed,convert_to_audio
284,Make the sentence soundable,convert_to_audio
285,Speak this like a narrator,convert_to_audio
286,Play this as a voice recording,convert_to_audio
287,Turn these notes into a speech,convert_to_audio
288,Read this out as if I’m listening,convert_to_audio
289,Verbalize this,convert_to_audio
290,Generate audio feedback,convert_to_audio
291,Let me hear the notes,convert_to_audio
292,Record a voice reading this,convert_to_audio
293,Spoken version needed,convert_to_audio
294,I want to hear this paragraph,convert_to_audio
295,Turn this into an MP3 narration,convert_to_audio
296,Please play the text in audio,convert_to_audio
297,Speak out these sentences,convert_to_audio
298,Say my notes aloud,convert_to_audio
299,Convert these words to sound,convert_to_audio
300,Generate a vocal output,convert_to_audio
301,Make a reading of this,convert_to_audio
302,Let me hear this note,convert_to_audio
303,Sound this paragraph,convert_to_audio
304,I'd like this spoken back to me,convert_to_audio
305,Please narrate this passage,convert_to_audio
306,Convert these lines into a voice clip,convert_to_audio
307,Can you vocalize this script?,convert_to_audio
308,Make an audio track out of this,convert_to_audio
309,Say this content like a news reader,convert_to_audio
310,Give a spoken delivery of this,convert_to_audio
311,Voice-over these words,convert_to_audio
312,I’d love to hear this instead of reading,convert_to_audio
313,Turn the text into speech,convert_to_audio
314,Can I get a sound clip of this?,convert_to_audio
315,Say this as an announcement,convert_to_audio
316,Let me hear a voice read this out,convert_to_audio
317,Read these out using text-to-speech,convert_to_audio
318,I'd like a voice note of this,convert_to_audio
319,Turn this message into a podcast segment,convert_to_audio
320,Give this in MP3 voice format,convert_to_audio
321,Speak the sentence to me,convert_to_audio
322,Make this a readable file using voice,convert_to_audio
323,I'd like to hear the spoken version,convert_to_audio
324,Can this paragraph be made audible?,convert_to_audio
325,Convert the text to a soundwave,convert_to_audio
326,Sound this text as voice,convert_to_audio
327,Turn my sentence into a sound file,convert_to_audio
328,I'd appreciate an audible format,convert_to_audio
329,Generate a podcast-like voiceover,convert_to_audio
330,Render this note vocally,convert_to_audio
331,I want an MP3 voice clip of this,convert_to_audio
332,Create a voiceover output for this,convert_to_audio
333,Generate voice message format,convert_to_audio
334,Let me listen instead of reading,convert_to_audio
335,Say this line with a clear voice,convert_to_audio
336,Play this aloud using a voice bot,convert_to_audio
337,Please give a sound interpretation,convert_to_audio
338,I need voice narration of this part,convert_to_audio
339,Please vocalize the sentence,convert_to_audio
340,Transform this paragraph into sound,convert_to_audio
341,Can you turn this into verbal format?,convert_to_audio
342,Let me hear this as if from a narrator,convert_to_audio
343,Play this text as audio content,convert_to_audio
344,I'd like this read to me,convert_to_audio
345,Turn this into something I can hear,convert_to_audio
346,Give me the audible outcome of this,convert_to_audio
347,Speak this paragraph using voice AI,convert_to_audio
348,Can you pronounce this out loud?,convert_to_audio
349,Turn this note into a narration,convert_to_audio
350,Say this for me in voice,convert_to_audio
351,Let me hear this in a speech form,convert_to_audio
352,I need a voice file of this text,convert_to_audio
353,Please provide a speech-based clip,convert_to_audio
354,Read this like a storyteller,convert_to_audio
355,Speak it in a smooth voice,convert_to_audio
356,I’d like this played in voice format,convert_to_audio
357,Convert to synthetic voice,convert_to_audio
358,I want to hear this read aloud,convert_to_audio
359,Voice generate this input,convert_to_audio
360,Make this section spoken,convert_to_audio
361,Give me a reading in voice,convert_to_audio
362,Generate a sound version of this message,convert_to_audio
363,Create a listening version of this,convert_to_audio
364,Say these lines using voice AI,convert_to_audio
365,Play back this note with sound,convert_to_audio
366,Let this be heard,convert_to_audio
367,Please use audio to deliver this,convert_to_audio
368,Turn it into an MP3 voice track,convert_to_audio
369,I’d like this rendered in voice,convert_to_audio
370,Speak this section of the document,convert_to_audio
371,Audio render this message,convert_to_audio
372,Transform into a voice playable,convert_to_audio
373,Make this into something I can listen to,convert_to_audio
374,Say these words to me,convert_to_audio
375,Use your voice to read this,convert_to_audio
376,Provide me with a sound file of this,convert_to_audio
377,Play this using voice synthesis,convert_to_audio
378,Please make an audio recording of this,convert_to_audio
379,Speak this clearly,convert_to_audio
380,Read this part like a narrator,convert_to_audio
381,Convert the script into audible format,convert_to_audio
382,I'd like this played like an audiobook,convert_to_audio
383,Turn this chunk of text into an audio stream,convert_to_audio
384,Make this vocal content,convert_to_audio
385,Audio playback of this required,convert_to_audio
386,Speak this paragraph with voice modulation,convert_to_audio
387,Turn this into a spoken paragraph,convert_to_audio
388,I need this in a voice assistant format,convert_to_audio
389,Please convert to audible MP3,convert_to_audio
390,Let me hear this like it's on a podcast,convert_to_audio
391,Sound out these details,convert_to_audio
392,Provide an audio message for this,convert_to_audio
393,Narrate this like a story,convert_to_audio
394,Generate a narration file for this,convert_to_audio
395,Make the voice version of this,convert_to_audio
396,Can I hear an audible version of these words?,convert_to_audio
397,Use AI voice to read this,convert_to_audio
398,Give me this sentence as a voice output,convert_to_audio
399,Speak this whole content,convert_to_audio
400,Make this content play as a voice,convert_to_audio
401,Read this as an audio file,convert_to_audio
402,Let me hear the script,convert_to_audio
403,Could you turn this text into audio?,convert_to_audio
404,Make this sentence audible,convert_to_audio
405,I need this part read out loud,convert_to_audio
406,Convert this into a spoken format,convert_to_audio
407,Can this content be played aloud?,convert_to_audio
408,Read this aloud like a podcast,convert_to_audio
409,Use TTS to speak this,convert_to_audio
410,I'd rather listen to this,convert_to_audio
411,Play this as spoken words,convert_to_audio
412,Turn this into a voice message,convert_to_audio
413,I want this spoken via AI,convert_to_audio
414,Say this using speech synthesis,convert_to_audio
415,Play this sentence as audio,convert_to_audio
416,Read this like a narrator would,convert_to_audio
417,I want to hear this part,convert_to_audio
418,Can you read this section out?,convert_to_audio
419,Speak this as a voiceover artist,convert_to_audio
420,Please turn this script into voice,convert_to_audio
421,Render this in speech,convert_to_audio
422,Let me hear a reading of this,convert_to_audio
423,Use voice to express this,convert_to_audio
424,Give me the spoken output,convert_to_audio
425,Speak this passage clearly,convert_to_audio
426,I want a voice playback of this,convert_to_audio
427,Play this as a voice message,convert_to_audio
428,Give me a reading voice of this text,convert_to_audio
429,Turn the written part into audio,convert_to_audio
430,Let me hear this instead,convert_to_audio
431,Produce an audio result for this,convert_to_audio
432,I’d like this presented in a vocal form,convert_to_audio
433,Use your speech engine to say this,convert_to_audio
434,Make a verbal version of this,convert_to_audio
435,Convert this text to something I can hear,convert_to_audio
436,Please make a sound version of this sentence,convert_to_audio
437,Speak this with emotion,convert_to_audio
438,Can you say these words out loud?,convert_to_audio
